,,,,,,,
"The Nordic List",,,,,,,
"Companies 2008-07-18",,,,,,,
" ",,,,,,,
,Currency,Exchange,,,"Short Name",ISIN,
,,,,,,,
"Unibet Group Plc",SEK,STO,MID,"Consumer Discretionary","UNIB SDB",SE0001835588,
"Viking Line Abp",EUR,HEL,MID,"Consumer Discretionary",VIK1V,FI0009005250,
"AarhusKarlshamn AB",SEK,STO,MID,"Consumer Staples",AAK,SE0001493776,
"Alfesca hf.",ISK,ISE,MID,"Consumer Staples",A,IS0000000461,
"Atria Oyj ",EUR,HEL,MID,"Consumer Staples",ATRAV,FI0009006548,
"Bakkavör Group hf.",ISK,ISE,MID,"Consumer Staples",BAKK,IS0000000099,
"Cloetta Fazer AB ser. B",SEK,STO,MID,"Consumer Staples","CFA B",SE0000102642,
"Hakon Invest AB",SEK,STO,MID,"Consumer Staples",HAKN,SE0000652216,
"HKScan Oyj  A",EUR,HEL,MID,"Consumer Staples",HKSAV,FI0009006308,
"Olvi Oyj A",EUR,HEL,MID,"Consumer Staples",OLVAS,FI0009900401,
"Raisio Oyj Vaihto-osake",EUR,HEL,MID,"Consumer Staples",RAIVV,FI0009002943,
"Royal UNIBREW",DKK,CSE,MID,"Consumer Staples",RBREW,DK0010242999,
"United International Enterprises Ltd",DKK,CSE,MID,"Consumer Staples",UIE,BSP951331318,
"United Plantation Berhad",DKK,CSE,MID,"Consumer Staples",UPB,DK0010023258,
"Østasiatiske Kompagni",DKK,CSE,MID,"Consumer Staples",EAC,DK0010006329,
"Atlantic Petroleum P/F",DKK,CSE,MID,Energy,"FO-ATLA CSE",FO000A0DN9X4,
"Atlantic Petroleum P/F",DKK,ISE,MID,Energy,FO-ATLA,FO000A0DN9X4,
"Broström AB ser.B",SEK,STO,MID,Energy,"BRO B",SE0000254880,
"Tanganyika Oil Company Ltd. SDB",SEK,STO,MID,Energy,"TYKS SDB",SE0001134537,
"Alm. Brand",DKK,CSE,MID,Financials,ALMB,DK0015250344,
Amagerbanken,DKK,CSE,MID,Financials,AMAG,DK0060037109,
"Atorka Group hf.",ISK,ISE,MID,Financials,ATOR,IS0000000669,
"Atrium Ljungberg AB ser. B",SEK,STO,MID,Financials,"LJGR B",SE0000191827,
"Avanza Bank Holding AB",SEK,STO,MID,Financials,AZA,SE0000170110,
"Brinova Fastigheter AB ser.B",SEK,STO,MID,Financials,"BRIN B",SE0001105487,
"Bure Equity AB",SEK,STO,MID,Financials,BURE,SE0000195810,
"Capinordic A/S",DKK,CSE,MID,Financials,"CAPI DKK",DK0010212570,
"CapMan Oyj B",EUR,HEL,MID,Financials,CPMBV,FI0009009377,
"Citycon Oyj",EUR,HEL,MID,Financials,CTY1S,FI0009002471,
"D. Carnegie & Co AB",SEK,STO,MID,Financials,CAR,SE0000798829,
"East Capital Explorer AB",SEK,STO,MID,Financials,ECEX,SE0002158568,
"ebh bank A/S",DKK,CSE,MID,Financials,EBH,DK0060035327,
"Eik Banki P/F",DKK,CSE,MID,Financials,"FO-EIK CSE",FO0005702340,
"Eik Banki P/F",DKK,ISE,MID,Financials,FO-EIK,FO0005702340,
"Fast Partner AB",SEK,STO,MID,Financials,FPAR,SE0000224446,
"Fionia Bank",DKK,CSE,MID,Financials,FIONIA,DK0060129658,
"Formuepleje Epikur A/S",DKK,CSE,MID,Financials,FPEPI,DK0016079288,
"Formuepleje LimiTTellus A/S",DKK,CSE,MID,Financials,FPLIM,DK0016310980,
"Formuepleje Markur A/S",DKK,CSE,MID,Financials,FPMER,DK0016042609,
"Formuepleje Pareto A/S",DKK,CSE,MID,Financials,FPPAR,DK0016023492,
"Formuepleje Penta A/S",DKK,CSE,MID,Financials,FPPEN,DK0016079361,
"Formuepleje Safe",DKK,CSE,MID,Financials,FPSAFE,DK0016110547,
